x1,y1,x2,y2
-1.908129,-3.733570,-2.408921,-2.898266
-4.400859,-0.939381,-4.297160,-0.251382
0.000000,0.000000,-3.911875,-0.835005
0.739593,5.071643,1.055375,7.044299
-4.889844,-1.043756,-4.498403,-0.729665
-1.360286,1.525086,-2.720573,3.050171
7.823750,1.670010,3.911875,0.835005
-6.734515,-1.706312,-6.080877,-4.551511
1.385618,0.725966,1.647785,1.969304
-5.867813,-1.252507,-7.823750,-1.670010
2.851289,-3.985615,0.908015,-3.052297
4.864917,-1.169252,5.817958,-3.173510
4.864917,-1.169252,4.555506,-2.041744
4.555506,-2.041744,4.246096,-2.914236
3.911875,0.835005,1.955938,0.417502
1.955938,0.417502,0.000000,0.000000
-1.574171,-4.216664,-1.055751,-6.634998
-4.889844,-1.043756,-5.867813,-1.252507
0.000000,0.000000,-0.680143,0.762543
-0.680143,0.762543,-1.360286,1.525086
-0.680143,0.762543,-0.190839,0.972005
-0.190839,0.972005,0.298464,1.181468
-0.190839,0.972005,0.346429,2.314373
0.346429,2.314373,0.883697,3.656740
4.555506,-2.041744,4.363126,-4.367494
4.363126,-4.367494,4.170745,-6.693243
-5.867813,-1.252507,-6.734515,-1.706312
-6.734515,-1.706312,-7.601217,-2.160117
0.346429,2.314373,1.204206,3.526211
1.204206,3.526211,2.061983,4.738050
-3.911875,-0.835005,-2.576044,-2.767381
4.388396,-0.167124,4.218038,-0.949074
-3.911875,-0.835005,-4.400859,-0.939381
-4.400859,-0.939381,-4.889844,-1.043756
-3.379618,-3.719118,-4.441497,-5.296840
0.739593,5.071643,0.274980,6.617076
4.363126,-4.367494,2.851289,-3.985615
2.095371,-3.794676,2.665999,-4.504240
3.911875,0.835005,4.388396,-0.167124
4.388396,-0.167124,4.864917,-1.169252
-2.576044,-2.767381,-1.908129,-3.733570
-4.419666,2.951065,-4.853290,4.585122
-1.360286,1.525086,-2.679116,1.855011
-2.679116,1.855011,-3.997945,2.184936
2.851289,-3.985615,2.095371,-3.794676
2.095371,-3.794676,1.339453,-3.603737
-2.679116,1.855011,-4.419666,2.951065
-4.419666,2.951065,-6.160216,4.047119
-1.908129,-3.733570,-1.574171,-4.216664
-1.574171,-4.216664,-1.240213,-4.699758
-2.576044,-2.767381,-2.499540,-3.123153
-2.499540,-3.123153,-2.423036,-3.478925
1.955938,0.417502,1.385618,0.725966
1.385618,0.725966,0.815299,1.034430
-2.499540,-3.123153,-3.379618,-3.719118
-3.379618,-3.719118,-4.259696,-4.315082
1.204206,3.526211,0.971899,4.298927
0.971899,4.298927,0.739593,5.071643
0.971899,4.298927,1.013602,4.466518
